text,tactic,technique
Adversaries may execute active reconnaissance scans to gather information that can be used during targeting.,TA0043,T1595
"Active scans are those where the adversary probes victim infrastructure via network traffic, as opposed to other forms of reconnaissance that do not involve direct interaction.",TA0043,T1595
Adversaries may perform different forms of active scanning depending on what information they seek to gather.,TA0043,T1595
"These scans can also be performed in various ways, including using native features of network protocols such as ICMP.",TA0043,T1595
"Information from these scans may reveal opportunities for other forms of reconnaissance (ex: Search Open Websites/Domains or Search Open Technical Databases), establishing operational resources (ex: Develop Capabilities or Obtain Capabilities), and/or initial access (ex: External Remote Services or Exploit Public-Facing Application).",TA0043,T1595
"Monitor and analyze traffic patterns and packet inspection associated to protocol(s) that do not follow the expected protocol standards and traffic flows (e.g extraneous packets that do not belong to established flows, gratuitous or anomalous traffic patterns, anomalous syntax, or structure).",TA0043,T1595
Consider correlation with process monitoring and command line to detect anomalous processes execution and command line arguments associated to traffic patterns ( monitor anomalies in use of files that do not normally initiate connections for respective protocol(s)).,TA0043,T1595
Monitor network data for uncommon data flows.,TA0043,T1595
Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious.,TA0043,T1595
Adversaries may scan victim IP blocks to gather information that can be used during targeting.,TA0043,T1595.001
"Public IP addresses may be allocated to organizations by block, or a range of sequential addresses.",TA0043,T1595.001
"Adversaries may scan IP blocks in order to Gather Victim Network Information, such as which IP addresses are actively in use as well as more detailed information about hosts assigned these addresses.",TA0043,T1595.001
Scans may range from simple pings (ICMP requests and responses) to more nuanced scans that may reveal host software/versions via server banners or other network artifacts.,TA0043,T1595.001
"Information from these scans may reveal opportunities for other forms of reconnaissance (ex: Search Open Websites/Domains or Search Open Technical Databases), establishing operational resources (ex: Develop Capabilities or Obtain Capabilities), and/or initial access (ex: External Remote Services).",TA0043,T1595.001
TeamTNT has scanned specific lists of target IP addresses.,TA0043,T1595.001
This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.,TA0043,T1595.001
Efforts should focus on minimizing the amount and sensitivity of data available to external parties.,TA0043,T1595.001
Monitor network data for uncommon data flows.,TA0043,T1595.001
Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious.,TA0043,T1595.001
Adversaries may scan victims for vulnerabilities that can be used during targeting.,TA0043,T1595.002
Vulnerability scans typically check if the configuration of a target host/application (ex: software and version) potentially aligns with the target of a specific exploit the adversary may seek to use.,TA0043,T1595.002
"These scans may also include more broad attempts to Gather Victim Host Information that can be used to identify more commonly known, exploitable vulnerabilities.",TA0043,T1595.002
"Vulnerability scans typically harvest running software and version numbers via server banners, listening ports, or other network artifacts.",TA0043,T1595.002
"Information from these scans may reveal opportunities for other forms of reconnaissance (ex: Search Open Websites/Domains or Search Open Technical Databases), establishing operational resources (ex: Develop Capabilities or Obtain Capabilities), and/or initial access (ex: Exploit Public-Facing Application).",TA0043,T1595.002
APT28 has performed large-scale scans in an attempt to find vulnerable servers.,TA0043,T1595.002
APT29 has conducted widespread scanning of target environments to identify vulnerabilities for exploit.,TA0043,T1595.002
Aquatic Panda has used publicly accessible DNS logging services to identify servers vulnerable to Log4j (CVE 2021-44228).,TA0043,T1595.002
Dragonfly has scanned targeted systems for vulnerable Citrix and Microsoft Exchange services.,TA0043,T1595.002
Magic Hound has conducted widespread scanning to identify public-facing systems vulnerable to Log4j (CVE-2021-44228).,TA0043,T1595.002
Sandworm Team has scanned network infrastructure for vulnerabilities as part of its operational planning.,TA0043,T1595.002
TeamTNT has scanned for vulnerabilities in IoT devices and other related resources such as the Docker API.,TA0043,T1595.002
Volatile Cedar has performed vulnerability scans of the target server.,TA0043,T1595.002
This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.,TA0043,T1595.002
Efforts should focus on minimizing the amount and sensitivity of data available to external parties.,TA0043,T1595.002
